ticker,action,dollar_amount,current_weight,target_weight,drift_pct,tax_impact,net_benefit,trade_type
GE,SELL,5295.489536,0.04561518267091126,0.0,inf,0.0,5295.489536,LIQUIDATE
SYY,SELL,4945.59044,0.042601162706954764,0.0,inf,0.0,4945.59044,LIQUIDATE
DIS,SELL,2948.7126399999997,0.02540011925303991,0.0,inf,0.0,2948.7126399999997,LIQUIDATE
CHD,SELL,2848.714973,0.02453874245003419,0.0,inf,0.0,2848.714973,LIQUIDATE
RQI,SELL,2756.497942,0.023744387804285703,0.0,inf,0.0,2756.497942,LIQUIDATE
GEV,SELL,2726.2,0.023483402271317087,0.0,inf,0.0,2726.2,LIQUIDATE
TSLA,SELL,2625.12,0.02261270228540823,0.0,inf,0.0,2625.12,LIQUIDATE
MCD,SELL,2330.811288,0.020077536165589726,0.0,inf,0.0,2330.811288,LIQUIDATE
SBUX,SELL,1140.745526,0.009826346590955617,0.0,inf,0.0,1140.745526,LIQUIDATE
IOT,SELL,872.25,0.0075135344549762785,0.0,inf,0.0,872.25,LIQUIDATE
VDIGX,SELL,652.14318,0.00561754113213849,0.0,inf,0.0,652.14318,LIQUIDATE
GEHC,SELL,410.458575,0.0035356774383524963,0.0,inf,0.0,410.458575,LIQUIDATE
VFORX,BUY,18317.222191659996,0.5422160159856767,0.7,-22.540569144903326,0.0,18317.222191659996,ADJUST
NVDA,BUY,8914.881417904,0.0032074878813992723,0.08,-95.99064014825092,0.0,8914.881417904,NEW_POSITION
